case_name,frequency_Hz,Y11_real,Y11_imag,Y12_real,Y12_imag,Y21_real,Y21_imag,Y22_real,Y22_imag
unstable,0.198298646887169,0.506035328532296,-0.00484952193069241,-0.124858579207468,0.063901740732344,-0.00699012916800861,-0.245486862400476,-0.50235052037851,-0.000396162269701875
unstable,0.208236509681036,0.506658760159756,-0.00525214708343643,-0.137881262368084,0.0672812288593775,-0.0077069571724084,-0.257765550581391,-0.502592803557331,-0.000459634475482352
unstable,0.218672414788656,0.507346978909292,-0.00570066789875814,-0.152284620582356,0.0708589584568393,-0.0084971385417903,-0.270655796817757,-0.502860156266098,-0.000533381414125799
unstable,0.229631321917304,0.508106803688774,-0.00620159013707972,-0.168219973071997,0.0746496856260089,-0.00936814516879835,-0.284187650616158,-0.503155194922182,-0.000619095906144649
unstable,0.241139441645862,0.508945790466644,-0.00676245076608808,-0.18585631560773,0.0786697423495479,-0.010328202390378,-0.298392572963742,-0.503480814444089,-0.000718757995410698
unstable,0.253224298113036,0.509872316353161,-0.0073919928622757,-0.20538262669069,0.0829372695620844,-0.0113863632254279,-0.313303492191253,-0.50384021927308,-0.00083468602867288
unstable,0.265914794847249,0.510895674292597,-0.00810037224759106,-0.227010527283434,0.0874724928759014,-0.0125525895193488,-0.328954860299497,-0.504236958216009,-0.000969597480130957
unstable,0.279241283895634,0.512026179942452,-0.00889940215024517,-0.25097735952794,0.0922980500689742,-0.0138378405366598,-0.345382709406997,-0.504674963680861,-0.00112668156604191
unstable,0.293235638417463,0.513275292604363,-0.00980284357635971,-0.277549764369908,0.0974393816822669,-0.015254169557228,-0.362624707902635,-0.505158595989767,-0.001309686175561
unstable,0.307931328915658,0.514655752425028,-0.0108267508318229,-0.307027856223834,0.102925198945046,-0.0168148290367258,-0.38072021580064,-0.505692693597168,-0.00152302225322459
unstable,0.323363503288679,0.516181736521685,-0.0119898838450135,-0.339750115860847,0.108788046954291,-0.0185343848836243,-0.399710338694421,-0.506282630222994,-0.00177188954404215
unstable,0.339569070894269,0.517869037228039,-0.0133142017489975,-0.376099152045508,0.115064985854158,-0.0204288403778851,-0.419637979588208,-0.506934380145097,-0.00206242860535047
unstable,0.356586790826106,0.519735266333094,-0.0148254557718727,-0.416508520055661,0.12179841907471,-0.0225157702031176,-0.44054788774857,-0.507654593199856,-0.00240190526940082
unstable,0.374457364614496,0.521800090036463,-0.0165539041074028,-0.46147083375389,0.129037106023921,-0.024814464974275,-0.462486703558777,-0.50845068143978,-0.00279893540069011
unstable,0.393223533572821,0.524085500422083,-0.018535177438479,-0.511547470976933,0.13683740772271,-0.0273460865032341,-0.485502998173921,-0.50933091992727,-0.00326375996030133
unstable,0.412930181022563,0.52661613062819,-0.0208113316372859,-0.567380254682638,0.145264828775084,-0.030133833835994,-0.509647306559931,-0.510304564854133,-0.00380858324255268
unstable,0.433624439641402,0.529419622659844,-0.0234321345290169,-0.62970560151744,0.154395939268709,-0.0332031197916062,-0.534972152250304,-0.511381993138167,-0.00444799093293366
