case_name,frequency_Hz,normalized_separation_margin,normalized_lower_bound,normalized_upper_bound,optimal_rotation_rad,normalized_H_contribution,normalized_G_contribution,normalized_commutator,normalized_eigenvalue_gap,critical_direction_d_magnitude,critical_direction_q_magnitude,critical_direction_q_relative_phase_rad,classification_status,classification_is_certified,direction_resolved,objective_envelope_resolved,attribution_status,overall_numerical_status
stable,2.17740330816047,0.0370749690118829,0.037074969011883,0.0392536702514284,0.173739154176752,0.0359670657221643,0.00110790328971866,0.121696426692828,0.155354936231987,0.99449396059659,0.104793904101848,2.90392280780043,strict-sectorial,1,1,1,resolved,resolved
stable,2.28652525963663,0.0391838586543278,0.0391838586543278,0.0413500505053981,0.158897523057734,0.038202826410194,0.000981032244133731,0.121957126147308,0.155586131690809,0.994063724916255,0.108799406274207,2.99426151760449,strict-sectorial,1,1,1,resolved,resolved
stable,2.40111592710553,0.0419814851692938,0.0419814851692938,0.0441609212579746,0.144679147064177,0.0411088401793986,0.000872644989895229,0.121216242716656,0.154576722386412,0.993570386098306,0.113216111346683,3.07500804034527,strict-sectorial,1,1,1,resolved,resolved
stable,2.52144937874688,0.0453992353164675,0.0453992353164675,0.0475806615595737,0.131122778614896,0.0446231418586258,0.000776093457841661,0.119583891305977,0.152461762808955,0.993014765609282,0.117990149088571,-3.13637047828313,strict-sectorial,1,1,1,resolved,resolved
stable,2.64781341784154,0.049366674770908,0.0493666747709081,0.0515473805965242,0.118255972376208,0.0486795224769979,0.000687152293910159,0.117172186290516,0.149377749580933,0.992398884249465,0.123062807299434,-3.07282652523744,strict-sectorial,1,1,1,resolved,resolved
stable,2.78051027111478,0.0538126378664184,0.0538126378664185,0.0559850043787003,0.10609531485098,0.0532091793656054,0.00060345850081306,0.114092900303617,0.145460494333079,0.991725633409412,0.128375496254932,-3.01684124673638,strict-sectorial,1,1,1,resolved,resolved
stable,2.91985731157643,0.0586662473812238,0.0586662473812238,0.0608387989396533,0.094647035861406,0.0581422797703705,0.000523967610853344,0.110455372085731,0.140843117588642,0.990998482841509,0.13387310038177,-2.9676996267741,strict-sectorial,1,1,1,resolved,resolved
stable,3.06618781758652,0.0638578574730462,0.0638578574730462,0.0660342514766519,0.0839078388475634,0.0634093176011961,0.000448539871850102,0.106364687391238,0.135654167245401,0.990221249635105,0.139505830598909,-2.92469870922773,strict-sectorial,1,1,1,resolved,resolved
stable,3.21985176996205,0.0693199041076548,0.0693199041076548,0.0715010441649186,0.073865997815775,0.0689423683474729,0.000377535760181867,0.101920153987295,0.130015930042885,0.989397917578236,0.145230026825895,-2.88716367752065,strict-sectorial,1,1,1,resolved,resolved
stable,3.38121668903121,0.0749876439413606,0.0749876439413606,0.0771642539609246,0.0645025087555284,0.0746760859327435,0.000311558008617138,0.097214084209651,0.124042946735672,0.988532516691418,0.151008156878133,-2.85446082627857,strict-sectorial,1,1,1,resolved,resolved
stable,3.55066851363717,0.0807997638985169,0.0807997638985169,0.0829763197974066,0.0557923051604248,0.0805485118911266,0.000251252007390315,0.0923308885887364,0.117840791687648,0.987629046793678,0.156808373275827,-2.82600410351444,strict-sectorial,1,1,1,resolved,resolved
