variant,state_count,factor_name,factor,tracking_status,real_per_s,imag_per_s,oscillation_frequency_hz,real_shift_from_baseline_per_s,frequency_shift_from_baseline_hz,lcl_group_total,control_state_group_total,voltage_pi_participation,current_pi_participation,active_damping_filter_participation,converter_current_participation,capacitor_voltage_participation,grid_side_filter_current_participation,condition_number,maximum_eigenpair_residual,minimum_right_mac,minimum_left_mac,maximum_normalized_eigenvalue_distance,path_steps_including_rejected_direct_attempts
10_state_include_rfif,10,current_pi_joint_gain,1.2,matched,109.74556983404463,673.0326675109854,107.11647589669741,-9.469791911048006,3.0147754951649666,0.8627240852771458,0.1372759147228541,0.13487736148011445,0.002398553242739663,0.0,0.14566707323214856,0.03617210559408886,0.6808849064509084,3.1731586227506283,2.893075929601688e-16,0.9998444366720465,0.9930920789310547,0.031852464942615524,1
10_state_include_rfif,10,converter_side_filter_reactance,0.8,matched,107.64346248756661,677.0139289651676,107.75011333687172,-11.571899257526027,3.648412935339278,0.8656591892310492,0.13434081076895074,0.13201608127090414,0.0023247294980466085,0.0,0.14191703070673023,0.036999056405053354,0.6867431021192656,3.3848018987353097,4.544370259910635e-16,0.9997725270644764,0.9997485553938329,0.038622596450554735,1
10_state_include_rfif,10,converter_side_filter_reactance,1.2,matched,128.65183259213046,633.2584669729385,100.78621527353891,9.436470847037825,-3.3154851279935205,0.8346429901059523,0.1653570098940477,0.16221527002158415,0.003141739872463542,0.0,0.18095399908753565,0.028903774301595176,0.6247852167168215,3.027443180646469,8.519327901762942e-16,0.9998068663802623,0.9997796888937269,0.03439707899360396,1
10_state_include_rfif,10,filter_capacitor_susceptance,0.8,matched,114.44771492936465,653.9447745200217,104.07854337397639,-4.767646815727986,-0.023157027556052857,0.8516952891819118,0.1483047108180881,0.14554233958831456,0.002762371229773555,0.0,0.1633691968497654,0.02582387096889898,0.6625022213632474,3.177860563687641,8.263137948321854e-16,0.9999904746355412,0.9995701832875866,0.007174180508953214,1
10_state_include_rfif,10,filter_capacitor_susceptance,1.2,matched,124.04756130161641,653.9838342842336,104.08475992852671,4.832199556523776,-0.016940473005732,0.8463101001068752,0.15368989989312476,0.15095229630960105,0.0027376035835237015,0.0,0.1623704930120125,0.03919736239820535,0.6447422446966574,3.198847937381908,1.047291172071375e-15,0.9999902071513784,0.9995691881624295,0.007269696359055025,1
10_state_include_rfif,10,grid_side_filter_reactance,0.8,matched,152.10663671231117,692.4870927759835,110.2127438426337,32.891274967218536,6.1110434411012555,0.8269260840021009,0.17307391599789915,0.17002147308801085,0.0030524429098883043,0.0,0.19288030204990048,0.036113790890138685,0.5979319910620617,3.4605745050071115,6.599785081612746e-16,0.9998880773213987,0.9967650606924968,0.07604302455101787,1
10_state_include_rfif,10,grid_side_filter_reactance,1.2,matched,95.76635373869937,623.0832300081847,99.16677601346697,-23.44900800639327,-4.934924388065465,0.8669391450944774,0.13306085490552264,0.13056063881596672,0.002500216089555909,0.0,0.14038005668786374,0.029179268769550806,0.6973798196370629,2.960791379414104,3.7363423917084896e-16,0.9999345233202275,0.9970770500574786,0.058470980932223186,1
12_state_omit_rfif,12,baseline,1.0,matched,122.0138314980916,627.9979664986665,99.94898061992127,0.0,0.0,0.833674954668257,0.1663250453317429,0.16064310535976767,0.0031639742062406113,0.002517965765734608,0.1476523013789489,0.027406957973758368,0.6586156953155498,2.9604515798124895,4.3272737209614e-16,1.0,1.0,0.0,0
12_state_omit_rfif,12,voltage_pi_joint_gain,0.8,matched,134.49807701518768,599.4785296820507,95.40997127635988,12.48424551709607,-4.539009343561389,0.8139330109396147,0.18606698906038535,0.17955549180796582,0.003663591378783547,0.0028479058736359925,0.16535901140576956,0.028828067285259253,0.6197459322485859,3.359029386029291,4.611948541722697e-16,0.9998486186930141,0.9959703681281693,0.04866375955154251,1
12_state_omit_rfif,12,voltage_pi_joint_gain,1.2,matched,110.5303316895062,648.7755715478606,103.25583916911164,-11.483499808585407,3.3068585491903657,0.8495615372724599,0.15043846272754033,0.14538362711061376,0.002793002764351574,0.0022618328525750063,0.1334277685289078,0.02588600238007839,0.6902477663634736,2.6730323004534666,5.628705030502528e-16,0.999912011429488,0.9963452264576161,0.03710849295801598,1
